GOOG,Success,9/1/2015,602.9,613,594.09,597.79,597.79,3698131
GOOG,Success,9/2/2015,606.53,614.34,599.51,614.34,614.34,2575598
GOOG,Success,9/3/2015,617.42,619.71,602.81,606.25,606.25,1758285
GOOG,Success,9/4/2015,600,603.8284,595.25,600.7,600.7,2089206
GOOG,RequestError,,0,0,0,0,0,0
GOOG,Success,9/8/2015,612.49,616.4875,604.12,614.66,614.66,2276715
GOOG,Success,9/9/2015,621.7,626.52,609.425,612.7201,612.7201,1701927
GOOG,Success,9/10/2015,612.43,624.33,611.0901,621.35,621.35,1904067
GOOG,Success,9/11/2015,618.01,625.81,617.42,625.77,625.77,1373545
GOOG,Success,9/14/2015,625.7,625.9089,619.19,623.24,623.24,1701521
GOOG,Success,9/15/2015,627.04,638.7,623.77,635.14,635.14,2084337
GOOG,Success,9/16/2015,635.47,638,632.14,635.98,635.98,1286444
GOOG,Success,9/17/2015,636.89,650.9,635.02,642.9,642.9,2274670
GOOG,Success,9/18/2015,636.07,640,627.02,629.25,629.25,5132122
AAPL,Success,9/1/2015,110.15,111.88,107.36,108.05,108.05,76758496
AAPL,Success,9/2/2015,110.23,112.34,109.131,112.34,112.34,61830791
AAPL,Success,9/3/2015,112.49,113.29,110.04,110.37,110.37,53173822
AAPL,Success,9/4/2015,108.97,110.45,108.51,109.2199,109.2199,49977584
AAPL,RequestError,,0,0,0,0,0,0
AAPL,Success,9/8/2015,111.65,112.56,110.32,112.31,112.31,54776970
AAPL,Success,9/9/2015,113.76,114.02,109.77,110.15,110.15,84939848
AAPL,Success,9/10/2015,110.26,113.2825,109.9,112.57,112.57,62829007
AAPL,Success,9/11/2015,111.79,114.21,111.76,114.21,114.21,49900909
AAPL,Success,9/14/2015,116.6,116.89,106.087,115.31,115.31,58264909
AAPL,Success,9/15/2015,115.89,116.5301,114.42,116.28,116.28,43305686
AAPL,Success,9/16/2015,116.22,116.54,115.44,116.41,116.41,37140057
AAPL,Success,9/17/2015,115.61,116.49,113.715,113.92,113.92,64086036
AAPL,Success,9/18/2015,112.21,114.3,111.87,113.45,113.45,74244249
